C001;C002;C003;C004;C005;C006;C007;C008;C009;C010;C011;C012;C013;C014;C015;C016;C017;C018;C019;C020;C021;C022;C023;C024;C025;C026;C027;C028;C029;C030;C031;C032;C033;C034;C035;C036;C037;C038;C039;C040;C041;C042;C043;C044;C045;C046;C047;C048;C049;C050;C051;C052;C053;C054;C055;C056;C057;C058;C059;C060;C061;C062;C063;C064;C065;C066;C067;C068;C069;C070;C071;C072;C073;C074;C075;C076;C077;C078;C079;C080;C081;C116;C082;C083;C084;C085;C086;C087;C088;C089;C090;C091;C092;C093;C094;C095;C096;C097;C098;C099;C100;C101;C102;C103;C104;C105;C106;C107;C108;C109;C110;C111;C112;C113;C114;C115;
W036;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalinae;Agonum;Agonum lugens;;0;1;0;2;0;"39;d";3;0;0;0;0;0;"39;d";0;0;3;0;0;0;45, 61;0;0;0;3;0;"39;m";0;3;0;0;0;36;0;3;36;0;0;0;0;3;0;"39;d, 56;d";2;1;0;1;0;0;0;0;0;"36,39;d";0;3;0;0;0;0;"57;d";0;2;2;0;36;0;2;2;0;"58;d";2;2;0;0;0;a;0;0;3;0;"41;d, 57;d";0;0;0;0;3;0;0;61;3;0;0;0;0;0;0;"44;d, 57;d";0;0;0;3;36;0;0;3;0;0;"36,39;d,";
W037;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalinae;Agonum;Agonum marginatum;1,14,21;0;1;0;2;0;"57;d";3;0;0;0;0;0;"39;d";0;0;3;0;0;0;45, 61;0;0;0;3;0;"39;d, 57;d";0;3;0;0;0;36;3;0;36;0;0;0;0;3;0;"39;d, 56;d";2;1;0;1;0;0;0;0;0;"36,39;d";0;3;0;0;0;0;"57;d";0;3;0;0;36;0;3;0;0;36;2;2;0;0;0;228;0;0;3;0;"41;d, 57;d";0;0;0;3;0;0;0;61;3;0;0;0;0;0;0;"44;d, 57;d";0;0;0;3;36;0;0;3;0;0;"39;d,";
W038;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalinae;Demetrias;Demetrias monostigma;1,15,16,20,21;0;1;0;2;0;36;3;0;0;0;0;0;"36;m";0;2;1;0;0;0;36, 45, 61;NA;NA;NA;NA;NA;z;0;3;0;0;0;36;3;0;36;0;0;0;0;3;0;"39;d";1;2;0;1;0;0;0;0;0;36;0;0;3;0;0;0;"57;k, 39:k, 60;k";0;3;0;0;36;0;3;0;0;"36;a";0;0;0;0;3;a;0;0;3;0;"41;d";0;0;3;0;0;0;0;61;NA;NA;NA;NA;NA;NA;NA;z;0;0;0;3;36;0;3;0;0;0;36;
W039;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalinae;Stenolophus;Stenolophus mixtus;14;1;1;0;2;0;"39;d";3;0;0;0;0;0;"39;d";0;0;3;0;0;0;36, 45, 61;0;0;3;0;0;"36;d";0;3;0;0;0;36;0;3;36;0;0;2;2;0;0;"36;d";2;0;0;1;0;0;0;0;0;36;0;0;3;0;0;0;"39:d, 60;d";0;3;0;0;36;0;3;0;0;"36;a";0;0;3;0;0;"39;d";0;0;3;0;"41;j";0;0;0;3;0;0;0;61;2;2;1;0;0;0;0;"55, 59;d, 60;d";0;0;0;3;36;0;0;3;0;0;"39;d";
W040;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalinae;Stenolophus;Stenolophus teutonus;21;1;1;0;2;0;"39;d";3;0;0;0;0;0;"39;d";0;0;3;0;0;0;36, 45, 61;0;0;3;0;0;"36;d";0;3;0;0;0;36;0;3;36;0;0;2;2;0;0;"36;d";2;0;0;1;1;0;0;0;0;"36, 60;d";0;0;3;0;0;0;"39:d, 60;d";0;3;0;0;36;0;3;0;0;"36;a";0;0;3;0;0;"39;d";0;0;3;0;"41;j";0;0;0;3;0;0;0;61;2;2;1;0;0;0;0;"59;d, 60;d";0;0;0;3;36;0;0;3;0;0;"39;d";
W041;Arthropoda;Insecta;Coleoptera;Carabidae;Lebiinae;Paradromius;Paradromius linearis;1,14,16,20,21;0;2;0;2;0;36;3;0;0;0;0;0;36;0;2;1;0;0;0;36, 45, 61;NA;NA;NA;NA;NA;z;0;0;0;3;0;36;0;3;36;0;0;0;0;3;0;36;2;2;0;1;0;0;0;0;0;36;0;3;0;0;0;0;36;0;2;0;1;36;1;2;0;0;35;2;0;0;0;1;36;0;0;3;0;"41;i";0;0;3;0;0;0;0;"36;a";0;3;0;0;0;0;0;36;0;0;0;3;36;0;0;3;0;0;36;
W042;Arthropoda;Insecta;Coleoptera;Carabidae;Lebiinae;Philorhizus;Philorhizus melanocephalus;1,20;0;2;0;1;0;36;3;0;0;0;0;0;36;0;3;0;0;0;0;36, 61, 61;NA;NA;NA;NA;NA;z;0;3;0;0;0;36;3;0;36;0;0;0;0;3;0;"39;d";2;0;0;1;0;0;0;0;0;36;0;2;2;0;0;0;"36;a";0;3;0;0;36;0;3;0;0;"36;a";0;0;0;0;3;"36;a";0;0;3;0;"41;i";0;0;0;3;0;0;0;61;NA;NA;NA;NA;NA;NA;NA;z;0;0;3;0;36;0;3;0;0;0;36;
W043;Arthropoda;Insecta;Coleoptera;Carabidae;Lebiinae;Syntomus;Syntomus foveatus;1,14,20,21;0;2;0;2;0;36;3;0;0;0;0;0;36;0;3;0;0;0;0;36, 45, 61;NA;NA;NA;NA;NA;z;0;3;0;0;0;36;3;0;36;0;0;0;0;3;0;"56;d";2;0;0;1;0;0;0;0;0;36, 56;0;3;0;0;0;0;63;0;3;0;0;36;0;3;0;0;"36;a";0;2;2;0;0;63;0;0;3;0;"41;i";0;0;0;3;0;0;0;"61;d";NA;NA;NA;NA;NA;NA;NA;z;0;0;3;0;36;0;3;0;0;0;"36;d";
W044;Arthropoda;Insecta;Coleoptera;Carabidae;Nebriinae;Leistus;Leistus ferrugineus;1,20;2;2;0;0;0;"39;d";3;0;0;0;0;0;"39;d";0;0;3;0;0;0;45, 61;0;0;3;0;0;NF;0;2;1;0;0;36;0;3;36;0;0;0;0;3;0;"39;d, 56, 67";3;0;0;0;0;0;0;0;0;36;NF;NF;NF;NF;NF;NF;NF;0;0;0;3;36;0;3;0;0;"36;a";0;2;0;0;2;36;0;0;3;0;"41;d";0;0;0;3;0;0;0;61;NF;NF;NF;NF;NF;NF;NF;NF;0;0;3;0;36;0;0;3;0;0;36;
W045;Arthropoda;Insecta;Coleoptera;Carabidae;Omophroninae;Omophron;Omophron limbatum;14,21;0;2;2;0;0;36;2;2;0;0;0;0;"36, 56;d";0;2;2;0;0;0;45, 61;0;0;0;2;2;"36;a";0;2;1;0;0;36;0;3;36;0;0;0;0;3;0;36;2;0;0;1;2;0;0;0;1;"36, 56;d";0;0;3;0;0;0;"56;d";1;2;1;1;36;0;0;3;0;36;0;0;3;0;0;36, 56;NA;NA;NA;NA;z;0;0;0;0;0;0;3;36;NA;NA;NA;NA;NA;NA;NA;z;0;0;2;2;36;2;0;1;0;0;"56;d";
W046;Arthropoda;Insecta;Coleoptera;Carabidae;Platyninae;Calathus;Calathus erratus;1,14,16;2;2;2;0;0;"36, 56;d";2;1;2;0;0;0;"36, 56;b;d";0;0;3;0;0;0;45, 61;0;0;0;3;0;"36;a";0;1;2;0;0;36;0;3;36;0;0;0;0;3;0;36, 67;2;0;0;1;1;0;0;0;0;36;0;3;0;0;0;0;"36;d";0;0;2;2;36;0;3;0;0;36;3;0;0;0;0;36;0;0;0;3;41;0;0;0;0;3;0;0;36, 61;0;2;1;0;0;0;0;"36;d";0;0;2;2;36;3;0;0;0;0;36;
W047;Arthropoda;Insecta;Coleoptera;Carabidae;Platyninae;Calathus;Calathus mollis;1,16,18;0;2;2;0;0;"36;d, 39;d";NF;NF;NF;NF;NF;NF;NF;0;0;3;0;0;0;45, 61;0;0;3;0;0;"36;a";0;0;3;0;0;36;0;3;36;NF;NF;NF;NF;NF;NF;NF;3;0;0;0;0;0;0;0;0;36;0;3;0;0;0;0;36;0;0;0;3;36;0;3;0;0;36;NF;NF;NF;0;NF;NF;0;0;3;0;41;0;0;0;3;0;0;0;36, 61;0;2;1;0;0;0;0;"36;d";0;0;3;0;36;NF;NF;NF;NF;NF;NF;
W048;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichinae;Amara;Amara aenea;1,14,21;0;1;0;2;0;36, 64;3;0;0;0;0;0;36;0;0;3;0;0;0;45, 61;0;0;1;0;0;68;0;2;2;0;0;36;3;0;36;0;0;0;2;2;3;36, 56, 65, 67;1;2;0;2;0;0;0;0;0;36, 56;0;3;0;0;0;0;36;0;2;2;0;36;0;3;0;0;"36;a, 56;a";0;0;3;0;0;64;0;0;3;0;41;0;0;0;3;0;0;0;36, 61;0;0;2;2;0;0;0;66;0;0;0;3;36;2;2;0;0;0;36;
W049;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichinae;Amara;Amara lucida;1,16,20,21;0;3;0;0;0;36;3;0;0;0;0;0;36;0;1;2;0;0;0;45, 61;0;0;1;0;0;"68;d";0;3;0;0;0;36;3;0;36;0;0;0;2;2;3;"56;d, 67";2;0;0;1;0;0;0;0;0;36;0;3;0;0;0;0;"36;d";0;2;2;0;36;0;3;0;0;"36;a, 56;a;d";0;0;3;0;0;"64;d";0;0;3;0;"41;d";0;0;0;3;0;0;0;61;0;0;2;2;0;0;0;"66;d";0;0;0;3;36;2;2;0;0;0;36;
W050;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichinae;Amara;Amara tibialis;14;0;1;0;2;0;36;3;0;0;0;0;0;36;0;1;2;0;0;0;45, 61;0;0;1;0;0;"68;d";0;3;0;0;0;36;3;0;36;0;0;0;2;2;3;"56;d, 67;d";2;0;0;1;0;0;0;0;0;36;0;3;0;0;0;0;36;0;3;0;0;36;0;3;0;0;"36;a, 56;a;d";0;0;3;0;0;36;0;0;3;0;41;0;0;0;3;0;0;0;61;0;0;2;2;0;0;0;"66;d";0;0;0;3;36;2;2;0;0;0;"36;d";
W051;Arthropoda;Insecta;Coleoptera;Carabidae;Scaritinae;Clivina;Clivina fossor;18;0;1;2;0;0;36, 56;1;2;2;1;1;0;36, 56;0;2;1;0;0;0;36, 45, 61;0;0;3;0;0;68;0;3;0;0;0;36;0;3;36;0;0;2;2;2;3;36, 56, 67;1;0;0;1;2;0;0;0;0;36;0;0;3;0;0;0;36;0;3;0;0;36;0;3;0;0;"36;a";0;0;3;0;0;36;NA;NA;NA;NA;z;0;0;0;3;0;0;0;"36;a";NA;NA;NA;NA;NA;NA;NA;z;0;0;0;3;36;3;0;0;0;0;"36;m";
W052;Arthropoda;Insecta;Coleoptera;Carabidae;Scaritinae;Dyschirius;Dyschirius globosus;17,21;0;1;0;2;0;36;3;0;0;0;0;0;36;0;3;0;0;0;0;36, 45, 61;0;0;3;0;0;68;0;3;0;0;0;36;3;0;36;0;0;0;0;3;0;36, 67;1;2;0;1;0;0;0;0;0;36;0;0;3;0;0;0;"69;d";0;2;2;0;36;0;3;0;0;"36;a, 68";0;0;3;0;0;"69;d";NA;NA;NA;NA;z;0;0;0;3;0;0;0;61;NA;NA;NA;NA;NA;NA;NA;z;0;0;0;3;36;0;0;0;3;0;36;
W053;Arthropoda;Insecta;Coleoptera;Carabidae;Trechinae;Bembidion;Bembidion assimile;1;0;1;0;2;0;36;3;0;0;0;0;0;36;0;3;0;0;0;0;45, 61;0;0;2;1;0;"68;d, 70;d";0;3;0;0;0;36;3;0;36;0;0;0;0;3;0;"36;d, 39;d, 56;d";2;0;0;1;0;0;0;0;0;36;0;0;3;0;0;0;"36;d";0;3;0;0;36;0;3;0;0;"68;d";0;0;3;0;0;"36;d";0;0;3;0;"41;d";0;0;0;3;0;0;0;"61;b;d";3;0;0;0;0;0;0;"70;d";0;0;0;3;36;0;3;0;0;0;36;
W054;Arthropoda;Insecta;Coleoptera;Carabidae;Trechinae;Bembidion;Bembidion pallidipenne;18,21;0;2;2;0;0;36;2;2;0;0;0;0;36;0;3;0;0;0;0;45, 61;0;0;2;1;0;"68;d, 70;d";0;2;2;0;0;36;0;3;36;0;0;0;0;3;0;"36. 56;d";2;0;0;1;2;0;0;0;0;36;0;0;3;0;0;0;36;0;3;0;0;36;0;3;0;0;"36;a";0;0;3;0;0;36;0;0;3;0;"41;d";0;0;0;3;0;0;0;"61;b;d";3;0;0;0;0;0;0;"70;d";0;0;0;3;"68;d";3;0;0;0;0;"36;a;c";
W055;Arthropoda;Insecta;Coleoptera;Chrysomelidae;;;;1,14,16,17,18,21;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;0;0;2;1;41;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W056;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Criocerinae;Oulema;Oulema duftschmidi;71,72,73;0;0;0;3;0;71;3;0;0;0;0;0;71,72,73;0;2;1;0;0;0;"72;d";0;0;3;0;0;73:d;0;0;0;0;3;"73;d";3;0;72;0;0;3;0;0;0;72;2;0;0;1;0;0;0;0;0;76;0;3;0;0;0;0;76;0;2;1;0;76;0;3;0;0;NF;0;0;0;0;3;"75;d";0;0;3;0;74;0;0;0;0;0;1;2;"75;d";0;0;3;0;0;0;0;"77;c";0;0;0;3;76;0;2;1;0;0;"76;d";
W057;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Galerucinae;Altica;;78, 23, 41, 77, 79, 72, 80;1;0;0;2;0;"78;d";3;0;0;0;0;0;"78;d";0;2;1;0;0;0;23;2;1;1;0;0;"79;d";0;0;0;0;3;"73;d";3;0;"72;d";0;0;3;0;0;0;72,78;1;2;0;1;0;2;0;0;0;"78;d";0;3;0;0;0;0;"78;d";0;2;2;0;78;0;3;0;0;"79;d";1;1;0;0;2;"79;d";0;0;2;1;"41;i;b";1;2;0;0;0;0;0;"79;d";0;0;0;0;2;1;0;"80;d,c";0;2;0;2;"79, 78;d";1;0;2;0;0;"78;d";A. subplicata, A. carduorum, A. aenea
W058;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Galerucinae;Chaetocnema;Chaetocnema hortensis;;1;0;0;2;0;81;3;0;0;0;0;0;"78;d";2;1;0;0;0;0;"23;d";0;0;2;0;0;73:d;0;0;0;0;3;"73;d";3;0;72;0;0;3;0;0;0;"72;d";1;2;0;1;0;2;0;0;0;"78;d";0;1;2;0;0;0;81;0;2;2;0;"78;d";1;2;0;0;82;1;0;1;0;2;"81;d";0;0;3;0;"41;i;b";NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;0;0;3;81;1;1;2;0;0;81;
W059;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Galerucinae;Lochmaea;Lochmaea suturalis;;1;0;0;2;0;83;3;0;0;0;0;0;"78;d";0;2;2;0;0;0;83;0;1;2;0;0;84;0;0;0;0;3;84;3;0;84;0;0;3;0;0;0;"72;d";2;2;0;1;0;0;0;0;0;84;0;1;2;0;0;0;83;0;3;0;0;83;0;3;0;0;84;0;0;2;0;0;83;0;2;1;0;"41;i;b";NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;0;0;3;84,83;1;1;2;0;0;83;
W060;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Galerucinae;Psylliodes;Psylliodes marcida;85;0;0;0;3;0;85;3;0;0;0;0;0;"78;d";0;3;0;0;0;0;85;0;1;1;0;0;85;0;0;0;0;3;"73;k";1;2;"82;d";0;0;3;0;0;0;"85, 72;d";1;2;0;1;0;2;0;0;0;85;0;1;2;0;0;0;"83;d";0;2;2;0;"85;d";0;2;0;0;85;0;0;2;0;2;85;0;0;3;0;"41;i;b";NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;0;0;3;85;1;1;2;0;0;"83;d";
W061;Arthropoda;Insecta;Coleoptera;Coccinellidae;;;;14,17,21;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;3;0;"93;e";NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W062;Arthropoda;Insecta;Coleoptera;Coccinellidae;Coccinellinae;Coccidula;Coccidula rufa;;1;0;0;2;0;86;3;0;0;0;0;0;86;0;3;0;0;0;0;87, 23;0;0;0;3;0;86;0;0;0;0;3;86;3;0;"93;e";0;0;0;0;3;0;86;1;2;0;1;0;0;0;0;0;86;0;3;0;0;0;0;86;0;2;2;0;86;0;3;0;0;86;0;0;0;0;2;86;NA;NA;NA;NA;NF;0;0;0;0;1;2;0;86;NA;NA;NA;NA;NA;NA;NA;NF;0;0;0;3;"23;d";0;2;2;0;0;"86;d";
W063;Arthropoda;Insecta;Coleoptera;Coccinellidae;Coccinellinae;Tytthaspis;Tytthaspis sedecimpunctata;89, 23;0;0;0;3;0;89;3;0;0;0;0;0;23;0;3;0;0;0;0;89;0;0;0;3;0;"93;e";0;0;0;0;3;23, 89;3;0;23;2;0;1;0;1;2;91;1;2;0;2;0;0;0;0;0;89;0;2;0;0;0;0;"86;d";0;2;2;0;"86;d ";1;2;0;0;"86;d";0;0;0;0;3;89;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NF;0;0;0;3;89;0;2;2;0;0;89;
W064;Arthropoda;Insecta;Coleoptera;Curculionidae;Curculioninae;Mecinus;Mecinus pyraster;;0;0;0;3;0;"92;d";3;0;0;0;0;0;"92;d";0;3;0;0;0;0;"92;d";0;0;0;3;0;"93;e";0;0;0;0;3;92;3;0;"93;e";0;0;2;1;0;0;92;2;2;0;1;0;0;1;0;0;92;0;0;3;0;0;0;92;0;2;1;0;92;0;3;0;0;92;0;0;0;0;3;92;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;0;0;3;92;2;0;1;0;0;92;
W065;Arthropoda;Insecta;Coleoptera;Curculionidae;Entiminae;Otiorhynchus;Otiorhynchus atroapterus;;0;0;0;3;0;94;3;0;0;0;0;0;"92;a";0;0;3;0;0;0;94;0;0;0;3;0;175;0;0;2;1;0;176;1;2;"95;d";0;0;3;0;0;0;94;1;2;0;0;0;0;0;0;0;"95;d";0;1;2;0;0;0;"92;d";0;2;1;0;"94;d";0;3;0;0;"97;d";3;0;0;0;0;"97;d";NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;0;2;1;"97;d";2;1;1;0;0;"97;d";
W066;Arthropoda;Insecta;Coleoptera;Curculionidae;Entiminae;Philopedon;Philopedon plagiatus;98, 99, 100;1;0;0;2;0;98, 99;2;1;0;0;0;0;98;0;1;2;0;0;0;100;0;0;1;2;99;100;1;2;0;0;0;99;1;2;NF;0;0;3;0;0;0;98, 99;2;2;1;0;0;0;0;0;0;98, 99;0;0;3;0;0;0;98;0;2;1;0;99;0;1;2;0;99;3;0;0;0;0;98, 99;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;0;2;1;99;2;0;1;0;0;99;
W067;Arthropoda;Insecta;Coleoptera;Dryopidae;;;;14,21, 104, 105 ;1;1;0;1;2;104, 105, 106, 107, 108;2;1;0;0;0;0;104, 105, 106, 107, 108;0;2;1;0;0;0;105;NA;NA;NA;NA;NA;NF;1;2;0;0;0;107;2;0;106;0;0;3;0;0;0;104, 105, 106, 107, 108;2;1;0;1;0;0;0;0;0;108;0;1;2;0;0;0;c;NA;NA;NA;NA;NF;0;1;2;0;e;2;1;1;0;0;104;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NF;2;1;1;0;1;e;
W068;Arthropoda;Insecta;Coleoptera;Dytiscidae;Copelatinae;Liopterus;Liopterus haemorrhoidalis;;0;0;0;1;2;101, 102;1;2;0;0;0;0;101;0;0;3;0;0;0;102;0;0;1;2;0;177;3;0;0;0;0;102;2;2;102;0;0;0;0;3;0;101;1;1;0;1;0;0;0;0;2;d;0;1;2;0;0;0;"103;e";0;2;1;0;"103;e";0;2;0;0;"103;e";1;0;0;0;2;"103;c";NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;0;0;3;NF;0;1;1;0;2;102;
W069;Arthropoda;Insecta;Coleoptera;Elateridae;;;;1,14,16,17,21;1;0;0;2;1;"109;e";3;0;0;0;0;0;"109;e";0;0;2;1;0;0;109;0;0;0;0;3;NF;0;2;1;0;0;111;2;0;106;0;0;3;0;0;0;82;2;2;0;1;0;1;0;0;0;82;0;1;2;0;0;0;82;0;2;1;0;"112, 111;e";0;3;0;0;112;2;0;1;0;1;111;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;0;2;1;113;2;1;1;0;0;113;
W070;Arthropoda;Insecta;Coleoptera;Elateridae;Dendrometrinae;Cidnopus;Cidnopus aeruginosus;109;1;0;0;2;1;109;3;0;0;0;0;0;109;0;0;3;0;0;0;109;0;0;0;0;3;110;0;2;1;0;0;111;2;0;106;0;0;3;0;0;0;111;2;2;0;1;0;1;0;0;0;82;0;1;2;0;0;0;"82; e";0;2;1;0;"112, 111;e";0;3;0;0;"112;e";2;0;1;0;1;"111;e";0;3;0;0;110;NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;0;2;1;"113;e";2;1;1;0;0;113;
W071;Arthropoda;Insecta;Coleoptera;Elateridae;Dendrometrinae;Hemicrepidius;Hemicrepidius niger;;1;0;0;2;0;"109;e";3;0;0;0;0;0;109;0;0;0;3;0;0;114;0;0;0;0;3;"110;e";0;2;1;0;0;"111;e";2;0;106;0;1;2;0;1;2;115;2;2;0;1;0;1;0;0;0;82;0;2;1;0;0;0;"82; e";0;1;2;0;"112, 111;e";0;3;0;0;"112;e";2;0;1;0;1;"111;e";0;3;0;0;82;NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;0;2;1;"113;e";2;1;1;0;0;113;
W072;Arthropoda;Insecta;Coleoptera;Helophoridae;Helophorinae;Helophorus;;21;1;1;0;1;2;"116;d";2;1;0;0;0;0;"116;e";1;2;1;0;0;0;117;0;0;1;2;116;NF;NA;NA;NA;NA;NA;NF;1;2;116;1;2;1;0;2;1;116;2;2;0;1;0;0;1;0;1;116;0;0;3;0;0;0;116;0;3;0;0;116;0;3;0;0;116;2;1;1;0;1;118;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;1;1;1;2;118;2;1;1;0;1;118;
W073;Arthropoda;Insecta;Coleoptera;Heteroceridae;Heterocerinae;Heterocerus;;14,17,21;0;2;2;0;1;119;2;2;1;0;0;0;120;1;2;1;0;0;0;120;NA;NA;NA;NA;NA;NF;0;1;2;1;0;121;1;2;120;2;2;0;0;0;0;121;1;1;2;1;2;0;0;0;0;121;0;0;3;0;0;0;121;0;2;1;0;121;1;2;0;0;123;2;0;2;0;0;121;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;0;1;2;NF;2;0;0;0;0;NF;
W074;Arthropoda;Insecta;Coleoptera;Histeridae;;;;1,14,16,17,21;2;1;1;1;0;125;2;1;0;0;0;0;126;0;1;2;2;1;0;124;0;1;2;1;0;127;0;2;1;0;0;124, 125, 126;1;2;124, 125, 126;0;1;0;0;3;0;124;2;1;1;1;2;0;0;0;0;127;0;1;2;0;0;0;126;0;2;1;0;126;2;2;0;0;127;2;2;1;0;0;128;0;0;3;0;74;NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;1;1;2;128;2;1;2;1;0;127;
W075;Arthropoda;Insecta;Coleoptera;Hydraenidae;Ochthebiinae;Ochthebius;Ochthebius minimus;;1;1;0;1;2;129;2;1;0;0;0;0;129;3;0;0;0;0;0;130;0;0;2;1;NF;NF;0;3;0;0;0;23;3;0;"129;a";1;2;0;0;0;0;129;2;1;1;1;0;0;0;0;0;131;0;1;2;0;0;0;"132;c";0;3;0;0;NF;NA;NA;NA;NA;NF;2;1;0;0;1;133;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;NA;NA;NA;NA;NA;NA;NA;NF;0;0;0;3;NF;0;1;1;0;1;NF;
W076;Arthropoda;Insecta;Coleoptera;Hydrophilidae;;;;;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NA;NA;NA;NA;NA;NA;NA;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W077;Arthropoda;Insecta;Coleoptera;Latridiidae;;;;14,21;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;
W078;Arthropoda;Insecta;Coleoptera;Nitidulidae;Meligethinae;Meligethes;;;1;1;0;2;0;82;3;0;0;0;0;0;140;0;3;0;0;0;0;82;0;0;3;0;0;141;0;1;0;0;0;141;3;0;141;0;0;3;0;0;0;142;1;2;0;1;0;0;0;0;0;143;0;0;3;0;0;0;82;0;2;1;0;141;0;3;0;0;141;0;0;0;0;3;82;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;NF;0;0;0;3;141;NF;NF;NF;NF;NF;NF;Brassicogethes aeneus
